Block Number,Trial Number,Target Letter,Target Colour,Response,Accuracy,Response Time
1,1,T,red,left,Correct,0.4313438000099268
1,2,L,blue,up,Incorrect,0.24506879999535158
1,3,L,blue,right,Incorrect,0.18750420000287704
1,4,T,blue,down,Incorrect,0.061497000002418645
1,5,L,blue,left,Incorrect,0.07226260000606999
1,6,T,blue,up,Incorrect,0.04080240000621416
1,7,T,blue,right,Correct,0.011228399991523474
1,8,T,red,left,Correct,0.24369770000339486
1,9,L,red,right,Incorrect,0.2597148000058951
1,10,L,blue,left,Incorrect,0.21537530000205152
2,1,L,blue,left,Incorrect,0.2734636999957729
2,2,T,blue,up,Incorrect,0.3094641999923624
2,3,T,blue,right,Correct,0.32473920000484213
2,4,L,blue,down,Correct,0.1565243999939412
2,5,T,blue,left,Incorrect,0.2522305000020424
2,6,L,blue,up,Incorrect,0.19622270000400022
2,7,L,blue,right,Incorrect,0.186314599995967
2,8,T,blue,down,Incorrect,0.16633970000839327
2,9,L,blue,left,Incorrect,0.13830500000040047
2,10,T,blue,up,Incorrect,0.16657659999327734
3,1,T,blue,right,Correct,0.5423498000018299
3,2,T,red,up,Incorrect,0.8287997000006726
3,3,T,red,left,Correct,0.887009099998977
3,4,L,red,down,Incorrect,0.8294667000009213
3,5,T,blue,up,Incorrect,0.5570581999927526
3,6,T,red,right,Incorrect,0.5215788000059547
3,7,L,red,down,Incorrect,0.4354223999980604
3,8,L,blue,left,Incorrect,0.441021799997543
3,9,L,blue,left,Incorrect,0.5030951000080677
3,10,L,red,up,Correct,0.2328191999986302
