Block Number,Trial Number,Target Letter,Target Colour,Response,Accuracy,Response Time
1,1,T,red,left,Correct,2.9229766000062227
1,2,L,blue,right,Incorrect,0.07293660000141244
1,3,L,blue,left,Incorrect,0.15478889999212697
1,4,T,red,right,Incorrect,0.09202739999454934
1,5,T,red,left,Correct,0.06748069998866413
1,6,L,red,down,Incorrect,0.07013279999955557
1,7,L,red,left,Incorrect,0.052483600011328235
1,8,T,red,left,Correct,0.21995489999244455
1,9,T,red,up,Incorrect,0.028122200004872866
1,10,L,blue,down,Correct,0.08417859999462962
2,1,L,blue,left,Incorrect,0.7886956000002101
2,2,T,red,right,Incorrect,0.05014310000115074
2,3,T,blue,left,Incorrect,0.5363739999884274
2,4,L,red,down,Incorrect,0.10940310001024045
2,5,L,blue,left,Incorrect,0.09229069999128114
2,6,T,red,left,Correct,0.2297833000047831
2,7,L,blue,down,Correct,0.14587019999453332
2,8,L,blue,down,Correct,0.047159599998849444
2,9,T,red,up,Incorrect,0.13975360000040382
2,10,T,blue,right,Correct,0.11906060000183061
3,1,T,red,right,Incorrect,1.0612007000017911
3,2,T,red,left,Correct,0.09615370001120027
3,3,L,blue,right,Incorrect,0.09841240000969265
3,4,T,blue,left,Incorrect,0.11227519999374636
3,5,L,blue,right,Incorrect,0.30557369999587536
3,6,T,red,left,Correct,0.18753579999611247
3,7,L,blue,up,Incorrect,0.2234210000024177
3,8,T,red,down,Incorrect,0.273120600002585
3,9,L,red,left,Incorrect,0.06355289999919478
3,10,L,red,right,Incorrect,0.2902150000008987
