Block Number,Trial Number,Target Letter,Target Colour,Response,Accuracy,Response Time
1,1,T,blue,left,Incorrect,1.2887634000071557
1,2,T,blue,up,Incorrect,0.37864599999738857
1,3,T,red,right,Incorrect,0.4086876000073971
1,4,L,blue,down,Correct,0.4137399000028381
1,5,L,red,left,Incorrect,0.4549210999975912
1,6,T,red,up,Incorrect,0.31375370000023395
1,7,L,red,right,Incorrect,0.3322602999978699
1,8,T,blue,down,Incorrect,0.30220819999522064
1,9,L,blue,left,Incorrect,0.2670316999865463
1,10,L,blue,up,Incorrect,0.2150024000002304
2,1,L,blue,right,Incorrect,0.2620444000058342
2,2,T,blue,down,Incorrect,0.21710090000124183
2,3,L,red,left,Incorrect,0.25285770000482444
2,4,T,red,up,Incorrect,0.18492849999165628
2,5,T,blue,right,Correct,0.2212944999919273
2,6,L,red,down,Incorrect,0.24725139999645762
2,7,T,red,left,Correct,0.17727719999675173
2,8,L,blue,up,Incorrect,0.20358960000157822
2,9,T,red,right,Incorrect,0.23896700001205318
2,10,L,red,down,Incorrect,0.15719030000036582
3,1,L,blue,left,Incorrect,0.23331039999902714
3,2,T,blue,up,Incorrect,0.20748320000711828
3,3,T,red,down,Incorrect,0.18062359999748878
3,4,L,red,right,Incorrect,0.16023459999996703
3,5,T,red,up,Incorrect,0.09242950000043493
3,6,L,blue,left,Incorrect,0.1378640000039013
3,7,L,blue,down,Correct,0.13718469999730587
3,8,T,blue,right,Correct,0.07309839999652468
3,9,T,red,up,Incorrect,0.058958200010238215
3,10,L,blue,left,Incorrect,0.12008659999992233
,participant_nr,session,age,handedness,gender,consent given,date
0,1,8,27,right,female,True,12-14-2022
