Block Number,Trial Number,Target Letter,Target Colour,Response,Accuracy,Response Time
1,1,L,blue,down,Correct,4.922004499996547
1,2,T,blue,right,Correct,5.11546700001054
1,3,T,red,left,Correct,9.823942400005762
1,4,L,red,down,Incorrect,5.371293299991521
1,5,L,red,up,Correct,6.942458400008036
1,6,L,red,up,Correct,5.609545999992406
1,7,T,red,down,Incorrect,2.49322519999987
1,8,L,red,right,Incorrect,0.9361052999884123
1,9,T,blue,left,Incorrect,0.6890413999935845
1,10,T,blue,up,Incorrect,0.7658344000083162
2,1,T,red,left,Correct,2.5304663999995682
2,2,T,red,right,Incorrect,0.13969169999472797
2,3,L,blue,left,Incorrect,0.07221650000428781
2,4,L,blue,right,Incorrect,0.11351709999144077
2,5,L,blue,left,Incorrect,0.018213800009107217
2,6,L,red,right,Incorrect,0.06563029999961145
2,7,L,red,left,Incorrect,0.024402299997746013
2,8,T,blue,right,Correct,0.019688200001837686
2,9,T,red,left,Correct,0.004232399995089509
2,10,T,red,right,Incorrect,0.03453940000326838
3,1,L,blue,right,Incorrect,0.03696420000051148
3,2,L,blue,left,Incorrect,0.007432999991578981
3,3,L,blue,down,Correct,0.14230310000129975
3,4,L,red,left,Incorrect,0.16302340000402182
3,5,T,red,down,Incorrect,0.044188300002133474
3,6,T,red,right,Incorrect,0.053164400000241585
3,7,T,blue,right,Correct,0.10359129999415018
3,8,T,red,right,Incorrect,0.0938795999973081
3,9,T,blue,right,Correct,0.10150420000718441
3,10,L,blue,right,Incorrect,0.05906309999409132
