Block Number,Trial Number,Target Letter,Target Colour,Response,Accuracy,Response Time
1,1,L,red,left,Incorrect,0.7667798000038601
1,2,T,blue,up,Incorrect,0.6993465999985347
1,3,T,red,right,Incorrect,0.7462654999981169
1,4,L,blue,down,Correct,0.475158500004909
1,5,T,red,left,Correct,0.28550510000786744
1,6,L,red,up,Correct,0.4691567000118084
1,7,T,blue,down,Incorrect,0.46524329998646863
1,8,T,blue,up,Incorrect,0.27185889999964274
1,9,L,blue,left,Incorrect,0.218376700009685
1,10,L,red,right,Incorrect,0.13934969999536406
2,1,T,blue,left,Incorrect,0.2581276999990223
2,2,L,blue,up,Incorrect,0.14418030000524595
2,3,T,blue,right,Correct,0.16824080000515096
2,4,T,blue,down,Incorrect,0.07173330000659917
2,5,T,blue,left,Incorrect,0.17666520000784658
2,6,L,blue,up,Incorrect,0.06107260000135284
2,7,T,red,right,Incorrect,0.05881470000895206
2,8,L,blue,down,Correct,0.0822994999907678
2,9,L,blue,up,Incorrect,0.24229619999823626
2,10,L,red,right,Incorrect,0.04617320001125336
3,1,T,red,left,Correct,0.04707690000941511
3,2,L,red,right,Incorrect,0.24892859999090433
3,3,L,red,left,Incorrect,0.18999280000571162
3,4,L,red,up,Correct,0.004708300009951927
3,5,T,red,right,Incorrect,0.013650399996549822
3,6,T,red,left,Correct,0.24588870001025498
3,7,L,red,up,Correct,0.004969299989170395
3,8,L,red,right,Incorrect,0.05091849999735132
3,9,T,blue,left,Incorrect,0.22993509999650996
3,10,T,blue,up,Incorrect,0.07851969999319408
