Block Number,Trial Number,Target Letter,Target Colour,Response,Accuracy,Response Time
1,1,L,blue,left,Incorrect,1.6305447000049753
1,2,T,red,up,Incorrect,0.1997521000012057
1,3,T,red,right,Incorrect,0.06753479999315459
1,4,L,red,down,Incorrect,0.11414320000039879
1,5,L,red,up,Correct,0.29038609999406617
1,6,L,blue,down,Correct,0.26967020001029596
1,7,T,red,up,Incorrect,0.15898229999584146
1,8,T,red,left,Correct,0.3993244000012055
1,9,T,red,right,Incorrect,0.1594314999965718
1,10,L,red,up,Correct,0.12260439999226946
2,1,L,red,left,Incorrect,0.31068300000333693
2,2,T,red,right,Incorrect,0.14600560000690166
2,3,L,red,left,Incorrect,0.1459857000008924
2,4,T,red,right,Incorrect,0.1870781000034185
2,5,L,blue,left,Incorrect,0.12643050000770018
2,6,T,red,right,Incorrect,0.10537600000679959
2,7,T,blue,left,Incorrect,0.11540329999115784
2,8,L,red,right,Incorrect,0.14342210000904743
2,9,L,blue,left,Incorrect,0.14504410000517964
2,10,T,red,down,Incorrect,0.3814245999965351
3,1,L,red,left,Incorrect,0.5473930000007385
3,2,L,red,right,Incorrect,0.1376860000018496
3,3,T,red,left,Correct,0.09516959999746177
3,4,L,blue,right,Incorrect,0.1397274000046309
3,5,T,red,left,Correct,0.1021420000033686
3,6,T,red,down,Incorrect,0.17608239999390207
3,7,L,red,down,Incorrect,0.15201620000880212
3,8,T,red,up,Incorrect,0.10194399999454618
3,9,T,blue,right,Correct,0.18913429998792708
3,10,L,red,left,Incorrect,0.10941470001125708
